,movie_name,Directed by,Story by,Based on,Produced by,Starring,Music by,Productioncompany,Distributed by,Release dates,Running time,Country,Language,Budget,Box office,Narrated by,Cinematography,Release date,Written by,Edited by,Screenplay by,Countries,Productioncompanies
124,Gus (1976 film),['Vincent McEveety'],['Ted Key'],,['Ron Miller'],"['Edward Asner', 'Don Knotts', 'Gary Grimes', 'Tim Conway', 'Liberty Williams', 'Dick Van Patten', 'Harold Gould']",['Robert F. Brunner'],['Walt Disney Productions'],['Buena Vista Distribution'],,['95 minutes'],['United States'],['English'],,"['$21,873,000']",,['Frank Phillips'],"['\nJuly\xa07,\xa01976\xa0(1976-07-07)\n']",,['Robert Stafford'],['Don Nelson'],,
125,The Shaggy D.A.,['Robert Stevenson'],,"['The Hound of Florence', 'Felix Salten']",['Bill Anderson'],"['Dean Jones', 'Suzanne Pleshette', 'Tim Conway', 'Keenan Wynn']",['Buddy Baker'],['Walt Disney Productions'],['Buena Vista Distribution'],,['91 minutes'],['United States'],['English'],,['$10.5 million (US and Canada rentals)[1]'],,['Frank V. Phillips'],"['\nDecember\xa016,\xa01976\xa0(1976-12-16)\n']",['Don Tait'],['\nBob Bring\nNorman R. Palmer\n'],,,
126,Freaky Friday (1976 film),['Gary Nelson'],,['Freaky Friday'],['Ron Miller'],"['Jodie Foster', 'Barbara Harris', 'John Astin', 'Patsy Kelly', 'Dick Van Patten']",['Johnny Mandel'],['Walt Disney Productions'],['Buena Vista Distribution'],"['\nDecember\xa017,\xa01976\xa0(1976-12-17) (Los Angeles)\nJanuary\xa021,\xa01977\xa0(1977-01-21) (United States)\n']",['97 minutes'],['United States'],['English'],['$5 million[1]'],['$36 million[2]'],,['Charles F. Wheeler'],,,['Cotton Warburton'],['Mary Rodgers'],,
127,Escape from the Dark,['Charles Jarrott'],"['Burt Kennedy', 'Rosemary Anne Sisson']",,['Ron Miller'],"['Alastair Sim', 'Peter Barkworth', 'Maurice Colbourne', 'Chloe Franks']",['Ron Goodwin'],['Walt Disney Productions'],['Buena Vista Distribution'],"['May 26, 1976 (UK)March 11, 1977 (US)']",['104 minutes'],,['English'],,,,['Paul Beeson'],,['Rosemary Anne Sisson'],['Richard Marden'],,['United KingdomUnited States'],
128,The Many Adventures of Winnie the Pooh,"['John Lounsbery', 'Wolfgang Reitherman']","['Larry Clemmons', 'Ralph Wright', 'Vance Gerry', 'Xavier Atencio', 'Ken Anderson', 'Ted Berman']","['Winnie-the-Pooh', 'A. A. Milne']",['Walt Disney'],"['Sterling Holloway', 'John Fiedler', 'Junius Matthews', 'Paul Winchell', 'Ralph Wright', 'Howard Morris', 'Bruce Reitherman', 'Jon Walmsley']",['Buddy Baker'],['Walt Disney Productions'],['Buena Vista Distribution'],,['74 minutes'],['United States'],['English'],,,,,"['\nMarch\xa011,\xa01977\xa0(1977-03-11)\n']",,['Tom AcostaJames Melton'],,,
129,The Rescuers,"['Wolfgang Reitherman', 'John Lounsbery', 'Art Stevens']","['Larry Clemmons', 'Vance Gerry', 'Ken Anderson', 'Frank Thomas', 'Burny Mattinson', 'Dick Sebast', 'Ted Berman']","['The Rescuers', 'Margery Sharp']",['\nWolfgang Reitherman\n'],"['Bob Newhart', 'Eva Gabor', 'Joe Flynn', 'Geraldine Page']",['Artie Butler'],['Walt Disney Productions'],['Buena Vista Distribution'],,['77 minutes'],['United States'],['English'],['$7.5 million'],['$169 million[1]'],,,"['\nJune\xa022,\xa01977\xa0(1977-06-22)\n']",,['\nJim Koford\nJames Melton\n'],,,
130,Herbie Goes to Monte Carlo,['Vincent McEveety'],,['Charactersby Gordon Buford'],['Ron Miller'],"['Dean Jones', 'Don Knotts', 'Julie Sommars']",['Frank De Vol'],['Walt Disney Productions'],['Buena Vista Distribution'],,['104 minutes'],['United States'],['English'],,['$28 million[1]'],,['Leonard J. South'],"['\nJune\xa024,\xa01977\xa0(1977-06-24)\n']",['Don Nelson'],['Cotton Warburton'],,,
131,Pete's Dragon (1977 film),['Don Chaffey'],['Seton I. Miller'],,"['Jerome Courtland', 'Ron W. Miller']","['Helen Reddy', 'Jim Dale', 'Mickey Rooney', 'Red Buttons', 'Jeff Conaway', 'Shelley Winters', 'Jane Kean', 'Jim Backus', 'Sean Marshall', 'Charlie Callas']",['Irwin Kostal'],['Walt Disney Productions'],['Buena Vista Distribution'],,['128 minutes'],['United States'],['English'],['$10 million[1]'],"['$36[1]–39.6 million[2]', '$36[1]–39.6 million[2]']",,['Frank Phillips'],"['\nNovember\xa03,\xa01977\xa0(1977-11-03)\n']",,['Gordon D. Brenner'],['Malcolm Marmorstein'],,
132,Candleshoe,['Norman Tokar'],,['Michael Innes'],['Ron Miller'],"['Jodie Foster', 'David Niven', 'Helen Hayes', 'Leo McKern', 'Vivian Pickles']",['Ron Goodwin'],['Walt Disney Productions'],['Buena Vista Distribution'],,['101 minutes'],['United States'],['English'],,,,['Paul Beeson'],"['\nDecember\xa016,\xa01977\xa0(1977-12-16)\n']",,['Peter Boita'],"['David Swift', 'Rosemary Anne Sisson']",,
133,Return from Witch Mountain,['John Hough'],,['Alexander Key'],"['Ron Miller', 'Jerome Courtland']","['Bette Davis', 'Christopher Lee', 'Kim Richards', 'Ike Eisenmann', 'Jack Soo', 'Anthony James']",['Lalo Schifrin'],['Walt Disney Productions'],['Buena Vista Distribution'],,['94 minutes'],['United States'],['English'],,['$16.3 million (worldwide)'],,['Frank V. Phillips'],"['\nMarch\xa010,\xa01978\xa0(1978-03-10)\n']",['Malcolm Marmorstein'],['Bob Bring'],,,
134,The Cat from Outer Space,['Norman Tokar'],,,['Ron Miller'],"['Ken Berry', 'Sandy Duncan', 'Harry Morgan', 'Ronnie Schell', 'Roddy McDowall', 'McLean Stevenson']",['Lalo Schifrin'],['Walt Disney Productions'],['Buena Vista Distribution'],,['104 minutes'],['United States'],['English'],['$3.5 to 4 million[2]'],,,['Charles F. Wheeler'],"['June\xa030,\xa01978\xa0(1978-06-30) (New York)[1]']",['Ted Key'],['Cotton Warburton'],,,
135,Hot Lead and Cold Feet,['Robert Butler'],['Rod Piffath'],,['Ron Miller'],"['Jim Dale', 'Karen Valentine', 'Don Knotts', 'Jack Elam', 'Darren McGavin']","['Buddy Baker', 'Joseph Dubin']",['Walt Disney Productions'],['Buena Vista Distribution'],,['90 minutes'],['United States'],['English'],,,,['Frank V. Phillips'],"['July\xa05,\xa01978\xa0(1978-07-05)']",['Don Nelson'],['Ray de Leuw'],,,
136,The North Avenue Irregulars,['Bruce Bilson'],,,['Ron Miller'],"['Edward Herrmann', 'Barbara Harris', 'Susan Clark', 'Karen Valentine', 'Michael Constantine', 'Cloris Leachman', 'Patsy Kelly', 'Douglas Fowley', 'Virginia Capers', 'Ruth Buzzi']",['Richard Bowden'],['Walt Disney Productions'],['Buena Vista Distribution'],,['100 minutes'],['United States'],['English'],,,,['Leonard J. South'],"['February\xa09,\xa01979\xa0(1979-02-09)']",['Don Tait'],['Gordon D. Brenner'],,,
137,The Apple Dumpling Gang Rides Again,['Vincent McEveety'],,,"['Tom Leetch', 'Ron W. Miller']","['Tim Conway', 'Don Knotts', 'Tim Matheson', 'Kenneth Mars', 'Jack Elam']","['Paul J. Smith', 'Buddy Baker', 'Joseph S. Dubin']",['Walt Disney Productions'],['Buena Vista Distribution'],,['88 minutes'],['United States'],['English'],,"['$20,931,111[1]']",,['Frank V. Phillips'],"['\nJune\xa027,\xa01979\xa0(1979-06-27)\n']",['Don Tait'],['Gordon Brenner'],,,
138,Unidentified Flying Oddball,['Russ Mayberry'],,"[""A Connecticut Yankee in King Arthur's Court"", 'Mark Twain']",['Ron Miller'],"['Dennis Dugan', 'Jim Dale', 'Ron Moody', 'Kenneth More', 'John Le Mesurier']",['Ron Goodwin'],['Walt Disney Productions'],['Buena Vista Distribution'],"['July 19, 1979 (London)[1]August 3, 1979 (Los Angeles)[1]', 'July 19, 1979 (London)[1]August 3, 1979 (Los Angeles)[1]']",['93 minutes'],,['English'],['$5.25 million[2]'],"['rentals', '$4.475 million (US/Canada rentals)[3]']",,['Paul Beeson'],,['Don Tait'],['Peter Boita'],,['United KingdomUnited States[1]'],
139,The Black Hole,['Gary Nelson'],['\nJeb Rosebrook\nBob Barbash\nRichard Landau\n'],,['Ron Miller'],"['Maximilian Schell', 'Robert Forster', 'Joseph Bottoms', 'Yvette Mimieux', 'Anthony Perkins', 'Ernest Borgnine']",['John Barry'],['Walt Disney Productions'],['Buena Vista Distribution'],"['\nDecember\xa018,\xa01979\xa0(1979-12-18) (United Kingdom)\n\nDecember\xa021,\xa01979\xa0(1979-12-21) (United States)\n']",['98 minutes'],['United States'],['English'],['$20 million[1]'],['$35.8 million(domestic)[2]'],,['Frank Phillips'],,,['Gregg McLaughlin'],['Gerry Day'],,
140,Midnight Madness (1980 film),['Michael Nankin'],,,['Ron Miller'],"['David Naughton', 'Michael J. Fox', 'Stephen Furst', 'Maggie Roswell', 'Eddie Deezen']",['Julius Wechter'],['Walt Disney Productions'],['Buena Vista Distribution'],,['112 minutes'],['United States'],['English'],['$4.5 million[1]'],['$2.9 million[2]'],,['Frank V. Phillips'],"['\nFebruary\xa08,\xa01980\xa0(1980-02-08)\n']",['Michael Nankin'],['Norman R. PalmerJack Sekely'],,,
141,The Watcher in the Woods (1980 film),"['John Hough', 'Vincent McEveety']",,"['A Watcher in the Woods', 'Florence Engel Randall']",['Ron Miller'],"['Bette Davis', 'Carroll Baker', 'David McCallum', 'Lynn-Holly Johnson', 'Kyle Richards']",['Stanley Myers'],['Walt Disney Productions'],['Buena Vista Distribution'],"['\nApril\xa017,\xa01980\xa0(1980-04-17) (New York City)\nOctober\xa09,\xa01981\xa0(1981-10-09) (U.S.)\n']",['84 minutes'],,['English'],['$9 million[1]'],['$5 million[2]'],,['Alan Hume'],,,['Geoffrey Foot'],"['Brian Clemens', 'Harry Spalding', 'Rosemary Anne Sisson']",['United StatesUnited Kingdom'],
142,Herbie Goes Bananas,['Vincent McEveety'],,['Charactersby Gordon Buford'],['Ron Miller'],"['Cloris Leachman', 'Charles Martin Smith', 'Stephan W. Burns', 'John Vernon', 'Elyssa Davalos', 'Joaquin Garay III', 'Harvey Korman', 'Richard Jaeckel', 'Alex Rocco']",['Frank De Vol'],['Walt Disney Productions'],['Buena Vista Distribution'],,['97 minutes'],['United States'],['English'],,['$18 million[2]'],,['Frank V. Phillips'],"['\nJune\xa027,\xa01980\xa0(1980-06-27)\n']",['Don Tait'],['Gordon D. Brenner'],,,
143,The Last Flight of Noah's Ark,['Charles Jarrott'],,['Ernest K. Gann'],['Ron Miller'],"['Elliott Gould', 'Geneviève Bujold', 'Ricky Schroder']",['Maurice Jarre'],['Walt Disney Productions'],['Buena Vista Distribution'],,['97 minutes'],['United States'],['English'],['$6-8 million[3]'],['$11 million[4]'],,['Charles F. Wheeler'],"['July\xa09,\xa01980\xa0(1980-07-09) (Los Angeles)[2]']","['Steven W. Carabatsos', 'George Arthur Bloom']",['Gordon D. Brenner'],,,
144,Popeye (film),['Robert Altman'],,"['Popeye', 'E. C. Segar']",['Robert Evans'],"['Robin Williams', 'Shelley Duvall']",['Harry Nilsson'],,['Buena Vista International'],"['\nDecember\xa06,\xa01980\xa0(1980-12-06) (Los Angeles)\nDecember\xa012,\xa01980\xa0(1980-12-12) (United States)\n']",['114 minutes'],['United States'],['English'],['$20 million[1]'],['$60 million[2]'],,['Giuseppe Rotunno'],,,['John W. Holmes'],['Jules Feiffer'],,"['Paramount Pictures', 'Walt Disney Productions', 'Robert Evans Productions', 'King Features']"
145,The Devil and Max Devlin,['Steven Hilliard Stern'],['Jimmy Sangster'],,['Jerome Courtland'],"['Elliott Gould', 'Bill Cosby', 'Susan Anspach', 'Adam Rich', 'Julie Budd', 'Sonny Shroyer', 'Chuck Shamata']","['Buddy Baker', 'Joseph S. Dubin']",['Walt Disney Productions'],['Buena Vista Distribution'],,['96 minutes'],['United States'],['English'],,['$16 million (USA)[2]'],,['Howard Schwartz'],"['February 11, 1981 (Los Angeles)[1]']",['Mary Rodgers'],['Ray de Leuw'],,,
146,Amy (1981 film),['Vincent McEveety'],,,['Jerome Courtland'],"['Jenny Agutter', 'Barry Newman', 'Kathleen Nolan', 'Chris Robinson', 'Lou Fant', ""Margaret O'Brien"", 'Nanette Fabray']",['Robert F. Brunner'],['Walt Disney Productions'],['Buena Vista Distribution'],,['97 minutes'],['United States'],['English'],,,,['Leonard J. South'],"['March\xa020,\xa01981\xa0(1981-03-20)']",['Noreen Stone'],['Gregg McLaughlin'],,,
147,Dragonslayer (1981 film),['Matthew Robbins'],,,['Howard W. Koch'],"['Peter MacNicol', 'Caitlin Clarke', 'Ralph Richardson', 'John Hallam', 'Peter Eyre', 'Sydney Bromley', 'Chloe Salaman', 'Ian McDiarmid']",['Alex North'],,['Buena Vista International'],,['109 minutes'],['United States'],['English'],['$18 million[1]'],['$14.1 million'],,['Derek Vanlint'],"['\nJune\xa026,\xa01981\xa0(1981-06-26)\n']",['Hal Barwood'],['Tony Lawson'],,,"['Paramount Pictures', 'Walt Disney Productions']"
148,The Fox and the Hound,"['Ted Berman', 'Richard Rich', 'Art Stevens']","['Larry Clemmons', 'Burny Mattinson', 'Vance Gerry']","['The Fox and the Hound', 'Daniel P. Mannix']","['Ron Miller', 'Wolfgang Reitherman']","['Mickey Rooney', 'Kurt Russell', 'Pearl Bailey', 'Jack Albertson', 'Sandy Duncan', 'Jeanette Nolan', 'Pat Buttram', 'John Fiedler', 'John McIntire', 'Dick Bakalyan', 'Paul Winchell', 'Keith Mitchell', 'Corey Feldman']",['Buddy Baker'],['Walt Disney Productions'],['Buena Vista Distribution'],,['83 minutes'],['United States'],['English'],['$12 million[1]'],['$63.5 million[2]'],,,"['\nJuly\xa010,\xa01981\xa0(1981-07-10)\n']",,['James MeltonJim Koford'],,,
149,Condorman,['Charles Jarrott'],,"['Robert Sheckley', 'The Game of Xby Robert Sheckley[1]']",['Jan Williams'],"['Michael Crawford', 'Oliver Reed', 'Barbara Carrera', 'James Hampton', 'Jean-Pierre Kalfon', 'Dana Elcar']",['Henry Mancini'],['Walt Disney Productions'],['Buena Vista Distribution'],,['90 minutes'],['United States'],['English'],['$14 million'],,,['Charles F. Wheeler'],"['\nAugust\xa07,\xa01981\xa0(1981-08-07)\n']",,['Gordon D. Brenner'],['Marc Stirdivant'],,
150,Night Crossing,['Delbert Mann'],,,['Tom Leetch'],"['John Hurt', 'Jane Alexander', ""Glynnis O'Connor"", 'Doug McKeon', 'Beau Bridges', 'Ian Bannen']",['Jerry Goldsmith'],['Walt Disney Productions'],['Buena Vista Distribution'],,['107 minutes'],,['English'],['$10 million[1]'],['$8 million[2]'],,['Tony Imi'],"['\nFebruary\xa05,\xa01982\xa0(1982-02-05)\n']",['John McGreevey'],['Gordon D. Brenner'],,['United KingdomUnited States'],
151,Tron,['Steven Lisberger'],['Bonnie MacBird'],,['Donald Kushner'],"['Jeff Bridges', 'Bruce Boxleitner', 'David Warner', 'Cindy Morgan', 'Barnard Hughes']",['Wendy Carlos'],,['Buena Vista Distribution'],,['96 minutes'],['United States'],['English'],['$17 million'],['$50 million[1]'],,['Bruce Logan'],"['\nJuly\xa09,\xa01982\xa0(1982-07-09)\n']",,['Jeff Gourson'],['Steven Lisberger'],,['Walt Disney Productions']
152,Tex (film),['Tim Hunter'],,"['Tex', 'S. E. Hinton']",['Tim Zinnemann'],"['Matt Dillon', 'Jim Metzler', 'Meg Tilly', 'Bill McKinney', 'Ben Johnson']",['Pino Donaggio'],['Walt Disney Productions'],['Buena Vista Distribution Company'],,['103 minutes'],['United States'],['English'],['$5 million[1]'],['$7.4 million[2]'],,['Ric Waite'],"['\nJuly\xa030,\xa01982\xa0(1982-07-30)\n']",,['Howard E. Smith'],['Charles S. Haas'],,
153,Trenchcoat (film),['Michael Tuchner'],,,['Jerry Leider'],"['Margot Kidder', 'Robert Hays', 'David Suchet', 'Gila von Weitershausen', 'Ronald Lacey']",['Charles Fox'],['Walt Disney Productions'],['Buena Vista Distribution'],,['91 min'],['United States'],['English'],['$8 million[1]'],"['$4,304,286 (US)[2]']",,['Tonino Delli Colli'],"['\nMarch\xa011,\xa01983\xa0(1983-03-11)\n']",['Jeffrey PricePeter S. Seaman'],['Frank J. Urioste'],,,
154,Something Wicked This Way Comes (film),['Jack Clayton'],,['Something Wicked This Way Comes'],['Peter Douglas'],"['Jason Robards', 'Jonathan Pryce', 'Diane Ladd', 'Pam Grier']",['James Horner'],,['Buena Vista Distribution'],,['95 minutes'],['United States'],['English'],['$20 million[1]'],['$8.4 million'],,['Stephen H. Burum'],"['\nApril\xa029,\xa01983\xa0(1983-04-29) (United States)\n']",,['Barry Mark GordonArt J. Nelson'],['Ray Bradbury'],,"['Walt Disney Productions', 'The Bryna Company']"
155,Never Cry Wolf (film),['Carroll Ballard'],,"['Never Cry Wolf', 'Farley Mowat']","['Lewis Allen', 'Jack Couffer', 'Joseph Strick']","['Charles Martin Smith', 'Brian Dennehy']",['Mark Isham'],,['Buena Vista Distribution'],"['October 7, 1983 (limited)January 27, 1984 (release)']",['105 minutes'],['United States'],,['$11 million'],['$27.6 million'],,['Hiro Narita'],,,['Michael Chandler'],"['Curtis Hanson', 'Sam Hamm']",,['Walt Disney Pictures']
156,Return to Oz,['Walter Murch'],,"['The Marvelous Land of Oz', 'Ozma of Oz', 'L. Frank Baum']",['Paul Maslansky'],"['Nicol Williamson', 'Jean Marsh', 'Piper Laurie', 'Fairuza Balk']",['David Shire'],,['Buena Vista Distribution'],,['113 minutes'],,['English'],['$28 million[1]'],['$11.1 million (USA)'],,"['David Watkin', 'Freddie Francis']","['\nJune\xa021,\xa01985\xa0(1985-06-21) (United States)\n']",,['Leslie Hodgson'],['Gill Dennis'],['United StatesUnited Kingdom'],"['Walt Disney Pictures', 'Silver Screen Partners']"
157,The Black Cauldron (film),"['Ted Berman', 'Richard Rich']","['Vance Gerry', 'Art Stevens']","['The Book of Three', 'The Black Cauldron', 'Lloyd Alexander']",['Joe Hale'],"['Susan Sheridan', 'Freddie Jones', 'Nigel Hawthorne', 'Arthur Malet', 'John Byner', 'Phil Fondacaro', 'John Hurt']",['Elmer Bernstein'],,"['Buena Vista Distribution', 'Buena Vista Distribution[1]']",,['80 minutes[4]'],['United States'],['English'],"['$44 million[5][6]', '$44 million[5][6]']",['$21.3 million[3]'],,,"['July\xa024,\xa01985\xa0(1985-07-24)[3]']",,['\nJames Melton\nJim Koford\nArmetta Jackson\n'],,,"['Walt Disney Pictures', 'Walt Disney Pictures[1]Walt Disney Productions[2]Silver Screen Partners II[1]', 'Walt Disney Productions', 'Walt Disney Pictures[1]Walt Disney Productions[2]Silver Screen Partners II[1]', 'Silver Screen Partners II', 'Walt Disney Pictures[1]Walt Disney Productions[2]Silver Screen Partners II[1]']"
158,The Journey of Natty Gann,['Jeremy Kagan'],,,['Mike Lobell'],"['Meredith Salenger', 'John Cusack', 'Ray Wise']",['James Horner'],,['Buena Vista Distribution'],,['101 minutes'],['United States'],['English'],['$8 million[1]'],['$9.7 million (U.S. and Canada only)[2]'],,['Dick Bush'],"['\nSeptember\xa027,\xa01985\xa0(1985-09-27)\n']",['Jeanne Rosenberg'],['David Holden'],,,"['Walt Disney Pictures', 'Silver Screen Partners II']"
159,One Magic Christmas,['Phillip Borsos'],['Thomas MeehanPhillip BorsosBarry Healey'],,"[""Peter O'Brian""]","['Mary Steenburgen', 'Gary Basaraba', 'Michelle Meyrink', 'Elisabeth Harnois', 'Arthur Hill', 'Harry Dean Stanton']",['Michael Conway Baker'],,['Buena Vista Distribution'],,['90 minutes'],,['English'],['$7.5 million[1]'],['$13 million [2]'],,['Frank Tidy'],"['\nNovember\xa022,\xa01985\xa0(1985-11-22)\n']",,['Sidney Wolinsky'],['Thomas Meehan'],['United StatesCanada'],"['Walt Disney Pictures', 'Silver Screen Partners II', 'Telefilm Canada']"
160,The Great Mouse Detective,"['John Musker', 'Ron Clements', 'Burny Mattinson']","['Vance Gerry', ""Matthew O'Callaghan"", 'Melvin Shaw']","['Basil of Baker Street', 'Eve Titus', 'Paul Galdone']",['Burny Mattinson'],"['Vincent Price', 'Barrie Ingham', 'Val Bettin', 'Candy Candido', 'Eve Brenner', 'Alan Young']",['Henry Mancini'],,['Buena Vista Distribution'],,['74 minutes'],['United States'],['English'],['$14 million[1]'],['$38.7 million[1]'],,,"['\nJuly\xa02,\xa01986\xa0(1986-07-02)\n']",,,,,"['Walt Disney Pictures', 'Walt Disney Feature Animation', 'Silver Screen Partners II']"
161,Flight of the Navigator,['Randal Kleiser'],['Mark H. Baker'],,['\nDimitri Villard\nRobert Wald\n'],"['Joey Cramer', 'Sarah Jessica Parker']",['Alan Silvestri'],,"['Buena Vista Distribution', 'PSO Productions', 'Buena Vista Distribution (United States)PSO Productions (International)[1][a]', 'Buena Vista Distribution (United States)PSO Productions (International)[1][a]']",,['90 minutes'],['United States[4]'],['English'],['$9 million[5]'],['$18.6 million'],,['James Glennon'],"['August\xa01,\xa01986\xa0(1986-08-01)\n[3]']",,['Jeff Gourson'],['\nMichael Burton\nMatt MacManus\n'],,"['PSO Productions', 'PSO ProductionsViking Film AS[1][2]', 'PSO ProductionsViking Film AS[1][2]']"
162,Benji the Hunted,['Joe Camp'],,,['Ben Vaughn'],"['Red Steagall', 'Frank Inn']","['Betty Box', 'Euel Box']",,['Buena Vista Pictures Distribution'],,['89 minutes'],['United States'],['English'],,['$22.3 million'],,['Don Reddy'],"['\nJune\xa05,\xa01987\xa0(1987-06-05)\n']",['Joe Camp'],['Karen Thorndike'],,,"['Walt Disney Pictures', 'Silver Screen Partners III']"
163,The Man from Snowy River II,['Geoff Burrowes'],,,['Geoff Burrowes'],"['Tom Burlinson', 'Sigrid Thornton', 'Brian Dennehy', 'Nicholas Eadie', 'Bryan Marshall', 'Mark Hembrow']",['Bruce Rowland'],,['Hoyts Distribution'],,['110 minutes'],['Australia'],['English'],['A$8.7 million[1]'],"['$13,687,027']",,['Keith Wagstaff'],['\n24\xa0March\xa01988\xa0(1988-03-24) (Australia)\n'],"['Banjo Paterson', 'Geoff Burrowes', 'John Dixon']",['Gary Woodyard'],,,"['Walt Disney Pictures', 'Silver Screen Partners III', 'Burrowes Film Group', 'The Hoyts Group']"
164,Oliver & Company,['George Scribner'],"['Vance Gerry', 'Mike Gabriel', 'Joe Ranft', 'Chris Bailey', 'Kirk Wise', 'Roger Allers', 'Gary Trousdale', 'Kevin Lima']","['Oliver Twist', 'Charles Dickens']",,"['Joey Lawrence', 'Billy Joel', 'Natalie Gregory', 'Cheech Marin', 'Bette Midler', 'Robert Loggia', 'Richard Mulligan', 'Roscoe Lee Browne', 'Sheryl Lee Ralph']",['J. A. C. Redford'],,['Buena Vista Pictures Distribution'],,['74 minutes'],['United States'],['English'],['$31 million[1]'],['>$121 million'],,,"['\nNovember\xa018,\xa01988\xa0(1988-11-18)\n']",,,['James Mangold'],,"['Walt Disney Pictures', 'Walt Disney Feature Animation', 'Silver Screen Partners III']"
165,"Honey, I Shrunk the Kids",['Joe Johnston'],"['Stuart Gordon', 'Brian Yuzna']",,['Penney Finkelman Cox'],"['Rick Moranis', 'Matt Frewer']",['James Horner'],,['Buena Vista Pictures Distribution'],,['93 minutes[1]'],['United States'],['English'],['citation needed'],['$222.7\xa0million[1]'],,['Hiro Narita'],"['\nJune\xa023,\xa01989\xa0(1989-06-23)\n']",,['Michael A. Stevenson'],"['Ed Naha', 'Tom Schulman']",,"['Walt Disney Pictures', 'Silver Screen Partners III']"
166,Cheetah (1989 film),['Jeff Blyth'],['John Cotter'],['Alan Caillou'],['Roy E. Disney'],"['Keith Coogan', 'Lucy Deakins']",['Bruce Rowland'],,['Buena Vista Pictures Distribution'],,['84 minutes'],['United States'],['English'],['$5 million'],"['$8,153,677 (United States)[1]']",,['Thomas Burstyn'],"['August\xa018,\xa01989\xa0(1989-08-18)']",,['Eric Albertson'],['\nErik Tarloff\nJohn Cotter\nGriff Du Rhone\n'],,"['Walt Disney Pictures', 'Silver Screen Partners III']"
167,The Little Mermaid (1989 film),"['John Musker', 'Ron Clements']",,"['The Little Mermaid', 'Hans Christian Andersen']",['Howard Ashman'],"['René Auberjonois', 'Christopher Daniel Barnes', 'Jodi Benson', 'Pat Carroll', 'Paddi Edwards', 'Buddy Hackett', 'Kenneth Mars', 'Ben Wright', 'Samuel E. Wright']",['Alan Menken'],,['Buena Vista Pictures Distribution'],,['83 minutes[1]'],['United States'],['English'],['$40\xa0million[2]'],['$235 million[3]'],,,"['\nNovember\xa017,\xa01989\xa0(1989-11-17)\n']",['\nJohn Musker\nRon Clements\n'],['Mark Hester'],,,"['Walt Disney Pictures', 'Walt Disney Feature Animation', 'Silver Screen Partners IV']"
168,DuckTales the Movie: Treasure of the Lost Lamp,['Bob Hathcock'],,"['DuckTales', 'Jymn Magon']",['\nBob Hathcock\n'],"['Alan Young', 'Terrence McGovern', 'Russi Taylor', 'Richard Libertini', 'Christopher Lloyd', 'June Foray', 'Chuck McCann', 'Joan Gerber', 'Rip Taylor']",['David Newman'],,"['Buena Vista Pictures Distribution', 'Buena Vista Pictures Distribution[2]']",,['69 minutes[2]'],"['United States[2][4]', 'United States[2][4]']",['English'],['$20 million[2]'],['$18.1 million[5]'],,,"['\nAugust\xa03,\xa01990\xa0(1990-08-03)\n']",,['Charles King'],['Alan Burnett'],,"['Walt Disney Pictures', 'Walt Disney Pictures[2]\nDisney MovieToons[3]\nWalt Disney Animation France[3]', 'Disney MovieToons', 'Walt Disney Pictures[2]\nDisney MovieToons[3]\nWalt Disney Animation France[3]', 'Walt Disney Animation France', 'Walt Disney Pictures[2]\nDisney MovieToons[3]\nWalt Disney Animation France[3]']"
169,The Rescuers Down Under,['Mike Gabriel'],,"['Characters', 'Margery Sharp']",['Thomas Schumacher'],"['Bob Newhart', 'Eva Gabor', 'John Candy', 'George C. Scott', 'Tristan Rogers']",['Bruce Broughton'],,['Buena Vista Pictures Distribution'],,['77 minutes'],['United States'],['English'],,['$47.4 million[1]'],,,"['\nNovember\xa016,\xa01990\xa0(1990-11-16)\n']",,['Michael Kelly'],"['Karey Kirkpatrick', 'Joe Ranft']",,"['Walt Disney Pictures', 'Walt Disney Feature Animation', 'Silver Screen Partners IV']"
170,White Fang (1991 film),['Randal Kleiser'],,"['White Fang', 'Jack London']",['Markay Powell'],"['Klaus Maria Brandauer', 'Ethan Hawke', 'Seymour Cassel', 'James Remar', 'Susan Hogan']","['Basil Poledouris', 'Hans Zimmer']",,['Buena Vista Pictures Distribution'],,['107 minutes'],['United States'],['English'],['$14 million[1]'],['$41 million'],,['Tony Pierce-Roberts'],"['\nJanuary\xa018,\xa01991\xa0(1991-01-18)\n']",,['Lisa Day'],['Jeanne RosenbergNick ThielDavid Fallon'],,"['Walt Disney Pictures', 'Silver Screen Partners IV']"
171,Shipwrecked (1990 film),['Nils Gaup'],,,"['John M. Jacobsen', 'Nigel Wooll']",['Gabriel Byrne'],['Patrick Doyle'],,['Buena Vista Pictures Distribution'],['\n3\xa0October\xa01990\xa0(1990-10-03)\n (Norway)1 March 1991 (United States)1 August 1991 (Sweden)'],['93 minutes'],,,['Norwegian Kroner'],['$17 million (Norway/USA)'],,['Erling Thurmann-Andersen'],,"['O.V. Falck-Ytter', 'Bob Foss', 'Greg Dinner', 'Nick Thiel']",['Nils Pagh Andersen'],,['NorwaySwedenUnited States'],"['Walt Disney Pictures', 'AB Svensk Filmindustri']"
