,movie_name,Directed by,Story by,Based on,Produced by,Starring,Music by,Productioncompany,Distributed by,Release dates,Running time,Country,Language,Budget,Box office,Narrated by,Cinematography,Release date,Written by,Edited by,Screenplay by,Countries,Productioncompanies
294,The Lion King 1%C2%BD,['Bradley Raymond'],,"['Characters created', 'Irene Mecchi', 'Jonathan Roberts', 'Linda Woolverton', ""The Lion King's Timon & Pumbaa""]",['George A. Mendoza'],"['Nathan Lane', 'Ernie Sabella', 'Julie Kavner', 'Jerry Stiller', 'Matthew Broderick', 'Robert Guillaume', 'Whoopi Goldberg', 'Cheech Marin', 'Jim Cummings']",['Don L. Harper'],"['DisneyToon Studios', 'DisneyToon Studios[1]']",['Walt Disney Home Entertainment'],"['\nFebruary\xa010,\xa02004\xa0(2004-02-10) (Disney DVD and video)\n']",['78 minutes[2]'],['United States[1]'],['English'],,"['$1,465']",,,,,['Joyce Arrastia'],['Tom Rogers'],,
295,Confessions of a Teenage Drama Queen,['Sara Sugarman'],,"['Confessions of a Teenage Drama Queen', 'Dyan Sheldon']","['Robert Shapiro', 'Jerry Leider']","['Lindsay Lohan', 'Adam Garcia', 'Glenne Headly', 'Alison Pill', 'Carol Kane']",['Mark Mothersbaugh'],['Walt Disney Pictures'],['Buena Vista Pictures Distribution'],,['85 minutes'],['United States'],['English'],['$15 million'],['$33.3 million[1]'],,['Stephen H. Burum'],"['\nFebruary\xa020,\xa02004\xa0(2004-02-20)\n']",,['Anita Brandt-Burgoyne'],['Gail Parent'],,
296,Springtime with Roo,"['Elliot M. Bour', 'Saul Andrew Blinkoff']",,"['Winnie-the-Pooh', 'A. A. Milne', 'A Christmas Carol', 'Charles Dickens']",['John A. Smith'],"['Jimmy Bennett', 'Jim Cummings', 'John Fiedler', 'Peter Cullen', 'Ken Sansom', 'Kath Soucie']",['Mark Watters'],,['Walt Disney Home Entertainment'],,['65 minutes'],['United States'],['English'],,,['David Ogden Stiers'],,"['March\xa09,\xa02004\xa0(2004-03-09)\n[1][2]', 'March\xa09,\xa02004\xa0(2004-03-09)\n[1][2]']",['Tom Rogers'],,,,"['DisneyToon Studios', 'DisneyToon Studios[a]Walt Disney Pictures', 'Walt Disney Pictures']"
297,Home on the Range (2004 film),['Will Finn'],['\nWill Finn\nJohn Sanford\nMichael LaBash\nSam Levine\nMark Kennedy\nRobert Lence\n'],,['Alice Dewey Goldstone'],"['Roseanne Barr', 'Judi Dench', 'Jennifer Tilly', 'Cuba Gooding Jr.', 'Randy Quaid', 'Steve Buscemi']",['Alan Menken'],,['Buena Vista Pictures Distribution'],['El Capitan Theatre'],['76 minutes'],['United States'],['English'],['$110 million[1]'],['$103-145.3 million[1]'],,,,['\nWill Finn\nJohn Sanford\n'],['H. Lee Peterson'],,,"['Walt Disney Pictures', 'Walt Disney Feature Animation']"
298,Sacred Planet,['Jon Long[2]Hairul Salleh Askor'],,,['\nJon Long\nKaren Fernandez Long\n'],['\nArapata McKay\nTsaan Ciqae\nMae Tui\nCy Peck Jr.\nMutang Urud\n'],,,"['Buena Vista Pictures', 'Buena Vista Pictures[1]\nDisney Enterprises[1]\nWalt Disney Pictures[1]', 'Buena Vista Pictures[1]\nDisney Enterprises[1]\nWalt Disney Pictures[1]', 'Walt Disney Pictures', 'Buena Vista Pictures[1]\nDisney Enterprises[1]\nWalt Disney Pictures[1]']",,['40 minutes'],,['English'],,['$1.1 million[3]'],['Robert Redford'],['William Reeve'],"['\nApril\xa022,\xa02004\xa0(2004-04-22)\n']",['\nKaren Fernandez Long\nJon Long\n'],['Jon Long'],,"['Canada[1]\nMalaysia[1]\nUnited States[1]', 'Canada[1]\nMalaysia[1]\nUnited States[1]', 'Canada[1]\nMalaysia[1]\nUnited States[1]']","['Allied Films[1]\nIMAX Film Holding Co.[1]\nLiving Films[1]', 'Allied Films[1]\nIMAX Film Holding Co.[1]\nLiving Films[1]', 'Living Films', 'Allied Films[1]\nIMAX Film Holding Co.[1]\nLiving Films[1]']"
299,Around the World in 80 Days (2004 film),['Frank Coraci'],,"['Around the World in Eighty Days', 'Jules Verne']",['Hal Lieberman'],"['Jackie Chan', 'Steve Coogan', 'Cécile de France', 'Jim Broadbent', 'Karen Mok']",['Trevor Jones'],,"['Buena Vista Pictures Distribution', 'Summit Entertainment', 'Buena Vista Pictures Distribution (United States)Summit Entertainment (Uncredited; International)[1]']",,['120 minutes[2]'],['United States'],['English'],['$110 million[2]'],['$72.2 million[2]'],,['Phil Meheux'],"['\nJune\xa016,\xa02004\xa0(2004-06-16)\n']",,['Tom Lewis'],['David Titcher'],,['Walden Media']
300,America's Heart and Soul,['Louis Schwartzberg'],,,['Louis Schwartzberg'],,['Joel McNeely'],,['Buena Vista Pictures Distribution'],,['84 minutes'],['United States'],['English'],,"['$314,402']",,['Louis Schwartzberg'],"['\nJuly\xa02,\xa02004\xa0(2004-07-02)\n']",,['Brian FunckTom McGah'],,,"['Walt Disney Pictures', 'Blacklight Films']"
301,The Princess Diaries 2: Royal Engagement,['Garry Marshall'],['\nShonda Rhimes\nGina Wendkos\n'],['Meg Cabot'],"['Whitney Houston', 'Debra Martin Chase']","['Anne Hathaway', 'Heather Matarazzo', 'John Rhys-Davies', 'Héctor Elizondo', 'Julie Andrews', 'Chris Pine']",['John Debney'],,['Buena Vista Pictures Distribution'],,['113 minutes[1]'],['United States'],['English'],['$45 million[2]'],"['$134.7 million[3][4]', '$134.7 million[3][4]']",,['Charles Minsky'],"['\nAugust\xa011,\xa02004\xa0(2004-08-11)\n']",,['Bruce Green'],['Shonda Rhimes'],,"['Walt Disney Pictures', 'ShondaLand', 'Martin Chase Productions']"
302,"Mickey, Donald, Goofy: The Three Musketeers",['Donovan Cook'],,"['The Three Musketeers', 'Alexandre Dumas', 'Mickey Mouse', 'Walt Disney', 'Ub Iwerks']",['Margot Pipkin'],"['Wayne Allwine', 'Tony Anselmo', 'Bill Farmer', 'Russi Taylor', 'Tress MacNeille', 'Jim Cummings', 'April Winchell', 'Jeff Bennett', 'Maurice LaMarche', 'Rob Paulsen']",['Bruce Broughton'],,"['Walt Disney Home Entertainment', 'Walt Disney Home Entertainment[2]']",,['67 minutes'],['United States[1]'],['English'],,,,,"['\nAugust\xa017,\xa02004\xa0(2004-08-17)\n']",,['Bret Marnell'],"['Evan Spiliotopoulos', 'David M. Evans']",,"['DisneyToon Studios', 'DisneyToon Studios[1][a]Walt Disney Pictures', 'DisneyToon Studios[1][a]Walt Disney Pictures', 'Walt Disney Pictures']"
303,The Incredibles,['Brad Bird'],,,['John Walker'],"['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell', 'Spencer Fox', 'Jason Lee', 'Samuel L. Jackson', 'Elizabeth Peña']",['Michael Giacchino'],,"['Buena Vista Pictures Distribution', 'Buena Vista Pictures Distribution[1]']",['El Capitan Theatre'],['115 minutes[2]'],['United States'],['English'],"['$92–145\xa0million[3][4]', '$92–145\xa0million[3][4]']",['$631.6\xa0million[3]'],,"['Patrick Lin', 'Janet Lucroy']",,['Brad Bird'],['Stephen Schaffer'],,,"['Walt Disney Pictures', 'Walt Disney Pictures[1]\nPixar Animation Studios[1]', 'Pixar Animation Studios', 'Walt Disney Pictures[1]\nPixar Animation Studios[1]']"
